timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773878102279,43,HTTP Request,200,OK,Stress Test 1-449,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878102298,44,HTTP Request,200,OK,Stress Test 1-450,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102319,44,HTTP Request,200,OK,Stress Test 1-451,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102341,43,HTTP Request,200,OK,Stress Test 1-452,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,22
1773878102359,44,HTTP Request,200,OK,Stress Test 1-453,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102378,45,HTTP Request,200,OK,Stress Test 1-454,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102398,43,HTTP Request,200,OK,Stress Test 1-455,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878102418,43,HTTP Request,200,OK,Stress Test 1-456,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878102439,43,HTTP Request,200,OK,Stress Test 1-457,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878102458,44,HTTP Request,200,OK,Stress Test 1-458,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102478,43,HTTP Request,200,OK,Stress Test 1-459,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878102498,44,HTTP Request,200,OK,Stress Test 1-460,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102517,45,HTTP Request,200,OK,Stress Test 1-461,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102538,43,HTTP Request,200,OK,Stress Test 1-462,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878102558,43,HTTP Request,200,OK,Stress Test 1-463,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878102579,46,HTTP Request,200,OK,Stress Test 1-464,text,true,,197,121,3,3,http://54.159.81.233:8080/match,46,0,22
1773878102598,45,HTTP Request,200,OK,Stress Test 1-465,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102618,45,HTTP Request,200,OK,Stress Test 1-466,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102637,45,HTTP Request,200,OK,Stress Test 1-467,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
